date,lad19cd,id_join,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,lad19nm,cty19cd,cty19nm,rgn19cd,rgn19nm,ff_type,ff_value,ukhol,dayoftheweek,event,phase
2020-02-18,E07000131,leicestershireharboroughdistrict,GB,United Kingdom,East Midlands,Leicestershire,,"",,ChIJ7VRfc2hld0gRYOTCu6gcDgQ,Harborough,E10000018,Leicestershire,E12000004,East Midlands,Retail and Recreation,11,,Tuesday,Before First National Lockdown,Phase zero
2020-02-18,E07000131,leicestershireharboroughdistrict,GB,United Kingdom,East Midlands,Leicestershire,,"",,ChIJ7VRfc2hld0gRYOTCu6gcDgQ,Harborough,E10000018,Leicestershire,E12000004,East Midlands,Grocery and Pharmacy,3,,Tuesday,Before First National Lockdown,Phase zero
2020-02-18,E07000131,leicestershireharboroughdistrict,GB,United Kingdom,East Midlands,Leicestershire,,"",,ChIJ7VRfc2hld0gRYOTCu6gcDgQ,Harborough,E10000018,Leicestershire,E12000004,East Midlands,Parks,,,Tuesday,Before First National Lockdown,Phase zero
2020-02-18,E07000131,leicestershireharboroughdistrict,GB,United Kingdom,East Midlands,Leicestershire,,"",,ChIJ7VRfc2hld0gRYOTCu6gcDgQ,Harborough,E10000018,Leicestershire,E12000004,East Midlands,Transit Stations,-3,,Tuesday,Before First National Lockdown,Phase zero
2020-02-18,E07000131,leicestershireharboroughdistrict,GB,United Kingdom,East Midlands,Leicestershire,,"",,ChIJ7VRfc2hld0gRYOTCu6gcDgQ,Harborough,E10000018,Leicestershire,E12000004,East Midlands,Workplaces,-17,,Tuesday,Before First National Lockdown,Phase zero
2020-02-18,E07000131,leicestershireharboroughdistrict,GB,United Kingdom,East Midlands,Leicestershire,,"",,ChIJ7VRfc2hld0gRYOTCu6gcDgQ,Harborough,E10000018,Leicestershire,E12000004,East Midlands,Residential,2,,Tuesday,Before First National Lockdown,Phase zero
2020-02-19,E07000131,leicestershireharboroughdistrict,GB,United Kingdom,East Midlands,Leicestershire,,"",,ChIJ7VRfc2hld0gRYOTCu6gcDgQ,Harborough,E10000018,Leicestershire,E12000004,East Midlands,Retail and Recreation,5,,Wednesday,Before First National Lockdown,Phase zero
2020-02-19,E07000131,leicestershireharboroughdistrict,GB,United Kingdom,East Midlands,Leicestershire,,"",,ChIJ7VRfc2hld0gRYOTCu6gcDgQ,Harborough,E10000018,Leicestershire,E12000004,East Midlands,Grocery and Pharmacy,-5,,Wednesday,Before First National Lockdown,Phase zero
2020-02-19,E07000131,leicestershireharboroughdistrict,GB,United Kingdom,East Midlands,Leicestershire,,"",,ChIJ7VRfc2hld0gRYOTCu6gcDgQ,Harborough,E10000018,Leicestershire,E12000004,East Midlands,Parks,,,Wednesday,Before First National Lockdown,Phase zero
2020-02-19,E07000131,leicestershireharboroughdistrict,GB,United Kingdom,East Midlands,Leicestershire,,"",,ChIJ7VRfc2hld0gRYOTCu6gcDgQ,Harborough,E10000018,Leicestershire,E12000004,East Midlands,Transit Stations,-9,,Wednesday,Before First National Lockdown,Phase zero
2020-02-19,E07000131,leicestershireharboroughdistrict,GB,United Kingdom,East Midlands,Leicestershire,,"",,ChIJ7VRfc2hld0gRYOTCu6gcDgQ,Harborough,E10000018,Leicestershire,E12000004,East Midlands,Workplaces,-19,,Wednesday,Before First National Lockdown,Phase zero
2020-02-19,E07000131,leicestershireharboroughdistrict,GB,United Kingdom,East Midlands,Leicestershire,,"",,ChIJ7VRfc2hld0gRYOTCu6gcDgQ,Harborough,E10000018,Leicestershire,E12000004,East Midlands,Residential,3,,Wednesday,Before First National Lockdown,Phase zero
